
- cudatoolkit=8.0=3
ch', 0)
('avg_acc', 0.27499999999999997)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 9)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.86it/s]
('avg_training_loss', 0.012476005991527312)
('max_training_acc', 0.8183098591549292)
('avg_training_acc', 0.2665492957746479)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.26it/s]
('avg_loss', 0.017858699429780245)
('max_acc', 0.8166666666666665)
('avg_acc', 0.2708333333333333)
('epoch', 10)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.85it/s]
('avg_training_loss', 0.011381582465206444)
('max_training_acc', 0.8183098591549296)
('avg_training_acc', 0.28133802816901404)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.82it/s]
('avg_loss', 0.015729527299602825)
('max_acc', 0.8166666666666665)
('avg_acc', 0.26666666666666666)
('epoch', 11)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.85it/s]
('avg_training_loss', 0.010808142938349448)
('max_training_acc', 0.8186619718309862)
('avg_training_acc', 0.29507042253521143)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.96it/s]
('avg_loss', 0.01567020476795733)
('max_acc', 0.8166666666666665)
('avg_acc', 0.2833333333333333)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 12)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.89it/s]
('avg_training_loss', 0.010722624970941057)
('max_training_acc', 0.8183098591549294)
('avg_training_acc', 0.30457746478873254)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.02it/s]
('avg_loss', 0.01652323710732162)
('max_acc', 0.8166666666666665)
('avg_acc', 0.2791666666666667)
('epoch', 13)
100%|█████████████████████████████████████████| 142/142 [00:50<00:00,  2.83it/s]
('avg_training_loss', 0.010130751550092663)
('max_training_acc', 0.8197183098591551)
('avg_training_acc', 0.30845070422535203)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.24it/s]
('avg_loss', 0.017248659627512097)
('max_acc', 0.8166666666666665)
('avg_acc', 0.275)
('epoch', 14)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.86it/s]
('avg_training_loss', 0.011091790476840146)
('max_training_acc', 0.8197183098591546)
('avg_training_acc', 0.3158450704225353)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.98it/s]
('avg_loss', 0.02134630906706055)
('max_acc', 0.8166666666666665)
('avg_acc', 0.26666666666666666)
('epoch', 15)
100%|█████████████████████████████████████████| 142/142 [00:50<00:00,  2.84it/s]
('avg_training_loss', 0.010989517212884737)
('max_training_acc', 0.818661971830986)
('avg_training_acc', 0.32112676056338035)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.98it/s]
('avg_loss', 0.017458120516190927)
('max_acc', 0.8166666666666665)
('avg_acc', 0.27499999999999997)
('epoch', 16)
100%|█████████████████████████████████████████| 142/142 [00:50<00:00,  2.84it/s]
('avg_training_loss', 0.010128720630694863)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.32183098591549286)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.21it/s]
('avg_loss', 0.020637778332456946)
('max_acc', 0.8166666666666665)
('avg_acc', 0.2833333333333333)
('epoch', 17)
100%|█████████████████████████████████████████| 142/142 [00:52<00:00,  2.70it/s]
('avg_training_loss', 0.009201665528603948)
('max_training_acc', 0.818661971830986)
('avg_training_acc', 0.34753521126760567)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.01it/s]
('avg_loss', 0.018558727189277608)
('max_acc', 0.8166666666666665)
('avg_acc', 0.32916666666666666)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 18)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.85it/s]
('avg_training_loss', 0.009755771443195326)
('max_training_acc', 0.8197183098591552)
('avg_training_acc', 0.3429577464788732)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.01it/s]
('avg_loss', 0.018124066448460024)
('max_acc', 0.8166666666666665)
('avg_acc', 0.29166666666666663)
('epoch', 19)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.85it/s]
('avg_training_loss', 0.008820454437534889)
('max_training_acc', 0.8190140845070422)
('avg_training_acc', 0.34014084507042247)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.97it/s]
('avg_loss', 0.018688356426234048)
('max_acc', 0.8166666666666665)
('avg_acc', 0.325)
('epoch', 20)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.88it/s]
('avg_training_loss', 0.008452013420255882)
('max_training_acc', 0.8186619718309851)
('avg_training_acc', 0.36373239436619725)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  5.98it/s]
('avg_loss', 0.017264980434750516)
('max_acc', 0.8166666666666665)
('avg_acc', 0.32083333333333336)
('epoch', 21)
100%|█████████████████████████████████████████| 142/142 [00:52<00:00,  2.69it/s]
('avg_training_loss', 0.008213813118243091)
('max_training_acc', 0.8190140845070419)
('avg_training_acc', 0.3661971830985916)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.87it/s]
('avg_loss', 0.017206931952387094)
('max_acc', 0.8166666666666665)
('avg_acc', 0.32916666666666666)
('epoch', 22)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.84it/s]
('avg_training_loss', 0.008197578745828549)
('max_training_acc', 0.8193661971830984)
('avg_training_acc', 0.37922535211267616)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.70it/s]
('avg_loss', 0.016924611836050946)
('max_acc', 0.8166666666666665)
('avg_acc', 0.32916666666666666)
('epoch', 23)
100%|█████████████████████████████████████████| 142/142 [00:50<00:00,  2.80it/s]
('avg_training_loss', 0.00801167898306387)
('max_training_acc', 0.8186619718309861)
('avg_training_acc', 0.37992957746478867)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.91it/s]
('avg_loss', 0.018454231050175924)
('max_acc', 0.8166666666666665)
('avg_acc', 0.32083333333333336)
('epoch', 24)
100%|█████████████████████████████████████████| 142/142 [00:58<00:00,  2.44it/s]
('avg_training_loss', 0.007748441829700285)
('max_training_acc', 0.818661971830986)
('avg_training_acc', 0.39154929577464803)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.06it/s]
('avg_loss', 0.017200567449132603)
('max_acc', 0.8166666666666665)
('avg_acc', 0.33749999999999997)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 25)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.89it/s]
('avg_training_loss', 0.007711789744551963)
('max_training_acc', 0.8193661971830987)
('avg_training_acc', 0.40246478873239433)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.30it/s]
('avg_loss', 0.016765760995137196)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3416666666666666)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 26)
100%|█████████████████████████████████████████| 142/142 [01:13<00:00,  1.93it/s]
('avg_training_loss', 0.007588652408563755)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.4105633802816901)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.36it/s]
('avg_loss', 0.016630761868630845)
('max_acc', 0.8166666666666665)
('avg_acc', 0.325)
('epoch', 27)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.90it/s]
('avg_training_loss', 0.00762308860840407)
('max_training_acc', 0.8193661971830981)
('avg_training_acc', 0.4070422535211268)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.22it/s]
('avg_loss', 0.01868308304498593)
('max_acc', 0.8166666666666665)
('avg_acc', 0.35000000000000003)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 28)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.87it/s]
('avg_training_loss', 0.007149437767073092)
('max_training_acc', 0.8193661971830983)
('avg_training_acc', 0.41408450704225347)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.37it/s]
('avg_loss', 0.017470429923074942)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3500000000000001)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 29)
100%|█████████████████████████████████████████| 142/142 [01:13<00:00,  1.93it/s]
('avg_training_loss', 0.007237823247174982)
('max_training_acc', 0.8193661971830984)
('avg_training_acc', 0.42992957746478894)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.26it/s]
('avg_loss', 0.016665230660388868)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3375000000000001)
('epoch', 30)
100%|█████████████████████████████████████████| 142/142 [01:16<00:00,  1.86it/s]
('avg_training_loss', 0.00803815316520369)
('max_training_acc', 0.8193661971830981)
('avg_training_acc', 0.41901408450704214)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.13it/s]
('avg_loss', 0.01699576903289805)
('max_acc', 0.8166666666666665)
('avg_acc', 0.36666666666666664)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 31)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.91it/s]
('avg_training_loss', 0.0072135469567975105)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.4359154929577465)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.27it/s]
('avg_loss', 0.017581076788095135)
('max_acc', 0.8166666666666665)
('avg_acc', 0.35833333333333334)
('epoch', 32)
100%|█████████████████████████████████████████| 142/142 [01:16<00:00,  1.87it/s]
('avg_training_loss', 0.00820989874650685)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.41373239436619724)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.38it/s]
('avg_loss', 0.018397195575137932)
('max_acc', 0.8166666666666665)
('avg_acc', 0.38333333333333336)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 33)
100%|█████████████████████████████████████████| 142/142 [01:16<00:00,  1.85it/s]
('avg_training_loss', 0.007032985375984244)
('max_training_acc', 0.8183098591549295)
('avg_training_acc', 0.4482394366197183)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.08it/s]
('avg_loss', 0.01781582032951216)
('max_acc', 0.8166666666666665)
('avg_acc', 0.39999999999999997)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 34)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.90it/s]
('avg_training_loss', 0.0068247923922633204)
('max_training_acc', 0.8190140845070424)
('avg_training_acc', 0.4507042253521128)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.21it/s]
('avg_loss', 0.016750970273278654)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4000000000000001)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 35)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.88it/s]
('avg_training_loss', 0.0066863512505554185)
('max_training_acc', 0.818661971830986)
('avg_training_acc', 0.4538732394366196)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:04<00:00,  2.49it/s]
('avg_loss', 0.016576139993655186)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4125000000000001)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 36)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.87it/s]
('avg_training_loss', 0.00632301914262992)
('max_training_acc', 0.8190140845070424)
('avg_training_acc', 0.48274647887323924)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.20it/s]
('avg_loss', 0.01674918314286818)
('max_acc', 0.8166666666666665)
('avg_acc', 0.41666666666666674)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 37)
100%|█████████████████████████████████████████| 142/142 [01:16<00:00,  1.86it/s]
('avg_training_loss', 0.006482336624250026)
('max_training_acc', 0.8183098591549296)
('avg_training_acc', 0.46514084507042264)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.24it/s]
('avg_loss', 0.015894544194452465)
('max_acc', 0.8166666666666665)
('avg_acc', 0.42083333333333334)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 38)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.92it/s]
('avg_training_loss', 0.006266704219406549)
('max_training_acc', 0.8190140845070422)
('avg_training_acc', 0.48169014084507034)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.35it/s]
('avg_loss', 0.017624744796194136)
('max_acc', 0.8166666666666665)
('avg_acc', 0.40416666666666673)
('epoch', 39)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.88it/s]
('avg_training_loss', 0.006257407178669433)
('max_training_acc', 0.8193661971830982)
('avg_training_acc', 0.47535211267605604)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.09it/s]
('avg_loss', 0.01752381930903842)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4041666666666666)
('epoch', 40)
100%|█████████████████████████████████████████| 142/142 [01:17<00:00,  1.84it/s]
('avg_training_loss', 0.005983693190706028)
('max_training_acc', 0.8190140845070422)
('avg_training_acc', 0.49154929577464795)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.81it/s]
('avg_loss', 0.016474770304436486)
('max_acc', 0.8166666666666665)
('avg_acc', 0.41666666666666674)
('epoch', 41)
100%|█████████████████████████████████████████| 142/142 [01:16<00:00,  1.87it/s]
('avg_training_loss', 0.005902075907215476)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.48345070422535197)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.39it/s]
('avg_loss', 0.017767256087002654)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4291666666666667)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 42)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.88it/s]
('avg_training_loss', 0.005989189003922151)
('max_training_acc', 0.8183098591549297)
('avg_training_acc', 0.49683098591549313)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.08it/s]
('avg_loss', 0.016314833851841588)
('max_acc', 0.8166666666666665)
('avg_acc', 0.39166666666666666)
('epoch', 43)
100%|█████████████████████████████████████████| 142/142 [01:18<00:00,  1.81it/s]
('avg_training_loss', 0.0058380554325248996)
('max_training_acc', 0.8186619718309857)
('avg_training_acc', 0.4904929577464789)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.24it/s]
('avg_loss', 0.018095906047771376)
('max_acc', 0.8166666666666665)
('avg_acc', 0.42500000000000004)
('epoch', 44)
100%|█████████████████████████████████████████| 142/142 [01:11<00:00,  1.98it/s]
('avg_training_loss', 0.006608180511532955)
('max_training_acc', 0.8190140845070423)
('avg_training_acc', 0.49366197183098587)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.17it/s]
('avg_loss', 0.017649538698606193)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4041666666666666)
('epoch', 45)
100%|█████████████████████████████████████████| 142/142 [01:13<00:00,  1.93it/s]
('avg_training_loss', 0.006051176911364244)
('max_training_acc', 0.8193661971830982)
('avg_training_acc', 0.4862676056338028)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  5.94it/s]
('avg_loss', 0.017728252258772653)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4166666666666667)
('epoch', 46)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.88it/s]
('avg_training_loss', 0.007290200564787317)
('max_training_acc', 0.8186619718309854)
('avg_training_acc', 0.48098591549295794)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.01it/s]
('avg_loss', 0.01644342512978862)
('max_acc', 0.8166666666666665)
('avg_acc', 0.425)
('epoch', 47)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.89it/s]
('avg_training_loss', 0.005934083921192082)
('max_training_acc', 0.8186619718309854)
('avg_training_acc', 0.4919014084507042)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.34it/s]
('avg_loss', 0.01619351942402621)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4208333333333332)
('epoch', 48)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.90it/s]
('avg_training_loss', 0.005627615021502363)
('max_training_acc', 0.8193661971830984)
('avg_training_acc', 0.5031690140845073)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.34it/s]
('avg_loss', 0.0164152760989964)
('max_acc', 0.8166666666666665)
('avg_acc', 0.42916666666666664)
('epoch', 49)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.97it/s]
('avg_training_loss', 0.005571358884737211)
('max_training_acc', 0.8190140845070424)
('avg_training_acc', 0.5133802816901413)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.22it/s]
('avg_loss', 0.01617649201458941)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4166666666666666)
('epoch', 50)
100%|█████████████████████████████████████████| 142/142 [01:16<00:00,  1.86it/s]
('avg_training_loss', 0.005614644508402217)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.5017605633802817)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.99it/s]
('avg_loss', 0.015741272169786196)
('max_acc', 0.8166666666666665)
('avg_acc', 0.43333333333333335)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 51)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.88it/s]
('avg_training_loss', 0.00545112686690835)
('max_training_acc', 0.8190140845070423)
('avg_training_acc', 0.5232394366197183)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:05<00:00,  2.16it/s]
('avg_loss', 0.016662631727134187)
('max_acc', 0.8166666666666665)
('avg_acc', 0.39999999999999997)
('epoch', 52)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.96it/s]
('avg_training_loss', 0.0051813341798523154)
('max_training_acc', 0.819014084507042)
('avg_training_acc', 0.5323943661971834)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.14it/s]
('avg_loss', 0.016885897183480363)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3833333333333333)
('epoch', 53)
100%|█████████████████████████████████████████| 142/142 [01:16<00:00,  1.86it/s]
('avg_training_loss', 0.0052600143424851795)
('max_training_acc', 0.8183098591549295)
('avg_training_acc', 0.5323943661971829)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.33it/s]
('avg_loss', 0.017653502291068435)
('max_acc', 0.8166666666666665)
('avg_acc', 0.39166666666666666)
('epoch', 54)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.96it/s]
('avg_training_loss', 0.005183191886368457)
('max_training_acc', 0.8190140845070417)
('avg_training_acc', 0.5355633802816903)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.38it/s]
('avg_loss', 0.0165128653558592)
('max_acc', 0.8166666666666665)
('avg_acc', 0.42083333333333334)
('epoch', 55)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.88it/s]
('avg_training_loss', 0.0054630492641721705)
('max_training_acc', 0.8183098591549294)
('avg_training_acc', 0.531338028169014)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.16it/s]
('avg_loss', 0.015284612425602973)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4041666666666666)
('epoch', 56)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.91it/s]
('avg_training_loss', 0.00543265859432466)
('max_training_acc', 0.8183098591549294)
('avg_training_acc', 0.5316901408450703)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.34it/s]
('avg_loss', 0.016870889502267044)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3916666666666666)
('epoch', 57)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.96it/s]
('avg_training_loss', 0.005014885112013616)
('max_training_acc', 0.8186619718309862)
('avg_training_acc', 0.5464788732394362)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.26it/s]
('avg_loss', 0.01808148401323706)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3999999999999999)
('epoch', 58)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.90it/s]
('avg_training_loss', 0.004944283059391547)
('max_training_acc', 0.8183098591549297)
('avg_training_acc', 0.5521126760563383)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.14it/s]
('avg_loss', 0.018937040275583666)
('max_acc', 0.8166666666666665)
('avg_acc', 0.40833333333333327)
('epoch', 59)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.96it/s]
('avg_training_loss', 0.004816507189337846)
('max_training_acc', 0.8190140845070423)
('avg_training_acc', 0.5556338028169018)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.31it/s]
('avg_loss', 0.018450843752361834)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4000000000000001)
('epoch', 60)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.88it/s]
('avg_training_loss', 0.005144248630451432)
('max_training_acc', 0.8186619718309861)
('avg_training_acc', 0.5521126760563382)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.28it/s]
('avg_loss', 0.017793606966733932)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3958333333333333)
('epoch', 61)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.89it/s]
('avg_training_loss', 0.0053325697064767)
('max_training_acc', 0.8186619718309861)
('avg_training_acc', 0.5440140845070425)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.24it/s]
('avg_loss', 0.01714911071273188)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3833333333333333)
('epoch', 62)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.95it/s]
('avg_training_loss', 0.005196125751597361)
('max_training_acc', 0.8183098591549295)
('avg_training_acc', 0.5478873239436618)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.39it/s]
('avg_loss', 0.016948633866074186)
('max_acc', 0.8166666666666665)
('avg_acc', 0.41250000000000003)
('epoch', 63)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.87it/s]
('avg_training_loss', 0.005671209832784576)
('max_training_acc', 0.8190140845070422)
('avg_training_acc', 0.5415492957746479)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.36it/s]
('avg_loss', 0.017328162483560543)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4166666666666667)
('epoch', 64)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.91it/s]
('avg_training_loss', 0.004816689540822269)
('max_training_acc', 0.8186619718309862)
('avg_training_acc', 0.5566901408450704)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.21it/s]
('avg_loss', 0.017437128893410165)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3958333333333333)
('epoch', 65)
100%|█████████████████████████████████████████| 142/142 [01:13<00:00,  1.93it/s]
('avg_training_loss', 0.004731501260785464)
('max_training_acc', 0.8197183098591547)
('avg_training_acc', 0.5654929577464785)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.34it/s]
('avg_loss', 0.01720129989553243)
('max_acc', 0.8166666666666665)
('avg_acc', 0.40416666666666673)
('epoch', 66)
