
- cudatoolkit=8.0=3
ch', 0)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.54it/s]
('avg_loss', 0.02165876127158602)
('max_acc', 0.5791666666666666)
('avg_acc', 0.15416666666666667)
('epoch', 21)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.51it/s]
('avg_training_loss', 0.007682576225674215)
('max_training_acc', 0.5843971631205677)
('avg_training_acc', 0.16489361702127636)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.44it/s]
('avg_loss', 0.02245774189941585)
('max_acc', 0.5791666666666666)
('avg_acc', 0.1375)
('epoch', 22)
100%|███████████████████████████████████████████| 94/94 [00:40<00:00,  2.30it/s]
('avg_training_loss', 0.00767222920710102)
('max_training_acc', 0.5858156028368797)
('avg_training_acc', 0.16241134751773031)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.44it/s]
('avg_loss', 0.021892784318576258)
('max_acc', 0.5791666666666666)
('avg_acc', 0.15000000000000002)
('epoch', 23)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.51it/s]
('avg_training_loss', 0.007480197610888392)
('max_training_acc', 0.5840425531914895)
('avg_training_acc', 0.17092198581560272)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.41it/s]
('avg_loss', 0.022276855461920302)
('max_acc', 0.5791666666666666)
('avg_acc', 0.15416666666666667)
('epoch', 24)
100%|███████████████████████████████████████████| 94/94 [00:40<00:00,  2.30it/s]
('avg_training_loss', 0.007469316335157194)
('max_training_acc', 0.5854609929078015)
('avg_training_acc', 0.17446808510638273)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.91it/s]
('avg_loss', 0.02255502707945804)
('max_acc', 0.5791666666666666)
('avg_acc', 0.1541666666666667)
('epoch', 25)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.57it/s]
('avg_training_loss', 0.007256005157498603)
('max_training_acc', 0.5858156028368797)
('avg_training_acc', 0.1840425531914892)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.01it/s]
('avg_loss', 0.023104257804031175)
('max_acc', 0.5791666666666666)
('avg_acc', 0.18333333333333332)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 26)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.55it/s]
('avg_training_loss', 0.007210854396342914)
('max_training_acc', 0.5851063829787233)
('avg_training_acc', 0.18723404255319145)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.59it/s]
('avg_loss', 0.022169616539031267)
('max_acc', 0.5791666666666666)
('avg_acc', 0.15000000000000002)
('epoch', 27)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.51it/s]
('avg_training_loss', 0.007026107560724337)
('max_training_acc', 0.5861702127659576)
('avg_training_acc', 0.20070921985815587)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.43it/s]
('avg_loss', 0.022363542889555294)
('max_acc', 0.5791666666666666)
('avg_acc', 0.18333333333333332)
('epoch', 28)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.52it/s]
('avg_training_loss', 0.0071540325607589265)
('max_training_acc', 0.5851063829787235)
('avg_training_acc', 0.1854609929078013)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.52it/s]
('avg_loss', 0.022792145765076082)
('max_acc', 0.5791666666666666)
('avg_acc', 0.17916666666666667)
('epoch', 29)
100%|███████████████████████████████████████████| 94/94 [00:34<00:00,  2.75it/s]
('avg_training_loss', 0.006864488045585916)
('max_training_acc', 0.5847517730496455)
('avg_training_acc', 0.20531914893617015)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.71it/s]
('avg_loss', 0.02339540095999837)
('max_acc', 0.5791666666666666)
('avg_acc', 0.17500000000000002)
('epoch', 30)
100%|███████████████████████████████████████████| 94/94 [00:35<00:00,  2.63it/s]
('avg_training_loss', 0.0066976822575831665)
('max_training_acc', 0.5843971631205674)
('avg_training_acc', 0.20886524822695027)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.53it/s]
('avg_loss', 0.02305448241531849)
('max_acc', 0.5791666666666666)
('avg_acc', 0.1708333333333333)
('epoch', 31)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.56it/s]
('avg_training_loss', 0.006605262974614)
('max_training_acc', 0.5854609929078017)
('avg_training_acc', 0.21595744680851056)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  8.37it/s]
('avg_loss', 0.021623281373952825)
('max_acc', 0.5791666666666666)
('avg_acc', 0.19583333333333333)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 32)
100%|███████████████████████████████████████████| 94/94 [00:38<00:00,  2.46it/s]
('avg_training_loss', 0.006418601508212692)
('max_training_acc', 0.5851063829787235)
('avg_training_acc', 0.23546099290780145)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.58it/s]
('avg_loss', 0.022458425723016262)
('max_acc', 0.5791666666666666)
('avg_acc', 0.17500000000000002)
('epoch', 33)
100%|███████████████████████████████████████████| 94/94 [00:33<00:00,  2.79it/s]
('avg_training_loss', 0.006249450228890364)
('max_training_acc', 0.5854609929078016)
('avg_training_acc', 0.2372340425531915)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.67it/s]
('avg_loss', 0.02267690406491359)
('max_acc', 0.5791666666666666)
('avg_acc', 0.19583333333333333)
('epoch', 34)
100%|███████████████████████████████████████████| 94/94 [00:35<00:00,  2.64it/s]
('avg_training_loss', 0.0061327709737134745)
('max_training_acc', 0.5854609929078017)
('avg_training_acc', 0.23758865248226937)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.63it/s]
('avg_loss', 0.02397994277998805)
('max_acc', 0.5791666666666666)
('avg_acc', 0.19166666666666665)
('epoch', 35)
100%|███████████████████████████████████████████| 94/94 [00:35<00:00,  2.61it/s]
('avg_training_loss', 0.006072224169830851)
('max_training_acc', 0.5851063829787236)
('avg_training_acc', 0.25354609929078015)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.82it/s]
('avg_loss', 0.024297853543733556)
('max_acc', 0.5791666666666666)
('avg_acc', 0.1625)
('epoch', 36)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.54it/s]
('avg_training_loss', 0.005980236349290514)
('max_training_acc', 0.5843971631205674)
('avg_training_acc', 0.2528368794326241)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.59it/s]
('avg_loss', 0.023909275885671377)
('max_acc', 0.5791666666666666)
('avg_acc', 0.17500000000000002)
('epoch', 37)
100%|███████████████████████████████████████████| 94/94 [00:34<00:00,  2.75it/s]
('avg_training_loss', 0.005894951470334955)
('max_training_acc', 0.5847517730496453)
('avg_training_acc', 0.26063829787234055)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.45it/s]
('avg_loss', 0.02357828989624977)
('max_acc', 0.5791666666666666)
('avg_acc', 0.19999999999999998)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 38)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.61it/s]
('avg_training_loss', 0.00573639021790091)
('max_training_acc', 0.5861702127659577)
('avg_training_acc', 0.27304964539007087)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.55it/s]
('avg_loss', 0.025242818519473076)
('max_acc', 0.5791666666666666)
('avg_acc', 0.2125)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 39)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.55it/s]
('avg_training_loss', 0.0055940851960529355)
('max_training_acc', 0.5851063829787237)
('avg_training_acc', 0.27446808510638293)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.05it/s]
('avg_loss', 0.023618283138299983)
('max_acc', 0.5791666666666666)
('avg_acc', 0.21666666666666665)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 40)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.50it/s]
('avg_training_loss', 0.0056009442258150655)
('max_training_acc', 0.5840425531914895)
('avg_training_acc', 0.28262411347517724)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.39it/s]
('avg_loss', 0.02320159498291711)
('max_acc', 0.5791666666666666)
('avg_acc', 0.20833333333333334)
('epoch', 41)
100%|███████████████████████████████████████████| 94/94 [00:38<00:00,  2.42it/s]
('avg_training_loss', 0.005502273970125045)
('max_training_acc', 0.5843971631205674)
('avg_training_acc', 0.2868794326241133)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.27it/s]
('avg_loss', 0.025574119373535115)
('max_acc', 0.5791666666666666)
('avg_acc', 0.2125)
('epoch', 42)
100%|███████████████████████████████████████████| 94/94 [00:38<00:00,  2.47it/s]
('avg_training_loss', 0.0054943774494917155)
('max_training_acc', 0.5854609929078017)
('avg_training_acc', 0.27872340425531916)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.73it/s]
('avg_loss', 0.025430267676711082)
('max_acc', 0.5791666666666666)
('avg_acc', 0.20416666666666664)
('epoch', 43)
100%|███████████████████████████████████████████| 94/94 [00:39<00:00,  2.40it/s]
('avg_training_loss', 0.0053222731147159605)
('max_training_acc', 0.5843971631205676)
('avg_training_acc', 0.2978723404255319)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.66it/s]
('avg_loss', 0.02495555890103181)
('max_acc', 0.5791666666666666)
('avg_acc', 0.20416666666666664)
('epoch', 44)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.49it/s]
('avg_training_loss', 0.0051347465635812346)
('max_training_acc', 0.5840425531914892)
('avg_training_acc', 0.29432624113475175)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  8.96it/s]
('avg_loss', 0.02776268303083877)
('max_acc', 0.5791666666666666)
('avg_acc', 0.2083333333333333)
('epoch', 45)
100%|███████████████████████████████████████████| 94/94 [00:41<00:00,  2.27it/s]
('avg_training_loss', 0.00513264703306746)
('max_training_acc', 0.5854609929078015)
('avg_training_acc', 0.30638297872340425)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.17it/s]
('avg_loss', 0.025372413142273825)
('max_acc', 0.5791666666666666)
('avg_acc', 0.2083333333333333)
('epoch', 46)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.55it/s]
('avg_training_loss', 0.005117364183187168)
('max_training_acc', 0.5840425531914897)
('avg_training_acc', 0.30780141843971637)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.80it/s]
('avg_loss', 0.02757230238057673)
('max_acc', 0.5791666666666666)
('avg_acc', 0.22916666666666663)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 47)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.49it/s]
('avg_training_loss', 0.005021878260564297)
('max_training_acc', 0.5843971631205676)
('avg_training_acc', 0.3085106382978723)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.51it/s]
('avg_loss', 0.027350146711493533)
('max_acc', 0.5791666666666666)
('avg_acc', 0.2541666666666666)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 48)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.61it/s]
('avg_training_loss', 0.004931637732450791)
('max_training_acc', 0.5854609929078015)
('avg_training_acc', 0.3152482269503547)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.74it/s]
('avg_loss', 0.027593056205660105)
('max_acc', 0.5791666666666666)
('avg_acc', 0.22499999999999995)
('epoch', 49)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.52it/s]
('avg_training_loss', 0.004809512578426523)
('max_training_acc', 0.5826241134751774)
('avg_training_acc', 0.32269503546099276)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.60it/s]
('avg_loss', 0.026878659225379426)
('max_acc', 0.5791666666666666)
('avg_acc', 0.2125)
evaluating on test
('loading model from ...', 'repro/webqsp/best_model_doc')
100%|███████████████████████████████████████████| 81/81 [00:13<00:00,  5.82it/s]
('avg_loss', 0.012523016886624657)
('max_acc', 0.5962962962962963)
('avg_acc', 0.22222222222222218)
